Task,Group,Architecture,Count,Total,Percentage
MDOD,CCD,SENSORY_RELAY__UNC_FLEX,5,8,62.5
MDOD,CCD,RELAY__UNC_FLEX,0,8,0.0
MDOD,CCD,NULL__UNC_FLEX,2,8,25.0
MDOD,CCD,DIRECT__UNC_FLEX,0,8,0.0
MDOD,CCD,SENSORY_RELAY__UNC_INTRA_ONLY,0,8,0.0
MDOD,CCD,RELAY__UNC_INTRA_ONLY,0,8,0.0
MDOD,CCD,NULL__UNC_INTRA_ONLY,1,8,12.5
MDOD,CCD,DIRECT__UNC_INTRA_ONLY,0,8,0.0
MDOD,TDC,SENSORY_RELAY__UNC_FLEX,8,18,44.44444444444444
MDOD,TDC,RELAY__UNC_FLEX,6,18,33.333333333333336
MDOD,TDC,NULL__UNC_FLEX,2,18,11.11111111111111
MDOD,TDC,DIRECT__UNC_FLEX,1,18,5.555555555555555
MDOD,TDC,SENSORY_RELAY__UNC_INTRA_ONLY,1,18,5.555555555555555
MDOD,TDC,RELAY__UNC_INTRA_ONLY,0,18,0.0
MDOD,TDC,NULL__UNC_INTRA_ONLY,0,18,0.0
MDOD,TDC,DIRECT__UNC_INTRA_ONLY,0,18,0.0
MDOG,CCD,SENSORY_RELAY__UNC_FLEX,2,8,25.0
MDOG,CCD,RELAY__UNC_FLEX,3,8,37.5
MDOG,CCD,NULL__UNC_FLEX,1,8,12.5
MDOG,CCD,DIRECT__UNC_FLEX,0,8,0.0
MDOG,CCD,SENSORY_RELAY__UNC_INTRA_ONLY,1,8,12.5
MDOG,CCD,RELAY__UNC_INTRA_ONLY,0,8,0.0
MDOG,CCD,NULL__UNC_INTRA_ONLY,1,8,12.5
MDOG,CCD,DIRECT__UNC_INTRA_ONLY,0,8,0.0
MDOG,TDC,SENSORY_RELAY__UNC_FLEX,11,18,61.111111111111114
MDOG,TDC,RELAY__UNC_FLEX,7,18,38.888888888888886
MDOG,TDC,NULL__UNC_FLEX,0,18,0.0
MDOG,TDC,DIRECT__UNC_FLEX,0,18,0.0
MDOG,TDC,SENSORY_RELAY__UNC_INTRA_ONLY,0,18,0.0
MDOG,TDC,RELAY__UNC_INTRA_ONLY,0,18,0.0
MDOG,TDC,NULL__UNC_INTRA_ONLY,0,18,0.0
MDOG,TDC,DIRECT__UNC_INTRA_ONLY,0,18,0.0
MGOD,CCD,SENSORY_RELAY__UNC_FLEX,4,8,50.0
MGOD,CCD,RELAY__UNC_FLEX,4,8,50.0
MGOD,CCD,NULL__UNC_FLEX,0,8,0.0
MGOD,CCD,DIRECT__UNC_FLEX,0,8,0.0
MGOD,CCD,SENSORY_RELAY__UNC_INTRA_ONLY,0,8,0.0
MGOD,CCD,RELAY__UNC_INTRA_ONLY,0,8,0.0
MGOD,CCD,NULL__UNC_INTRA_ONLY,0,8,0.0
MGOD,CCD,DIRECT__UNC_INTRA_ONLY,0,8,0.0
MGOD,TDC,SENSORY_RELAY__UNC_FLEX,11,18,61.111111111111114
MGOD,TDC,RELAY__UNC_FLEX,3,18,16.666666666666668
MGOD,TDC,NULL__UNC_FLEX,1,18,5.555555555555555
MGOD,TDC,DIRECT__UNC_FLEX,1,18,5.555555555555555
MGOD,TDC,SENSORY_RELAY__UNC_INTRA_ONLY,0,18,0.0
MGOD,TDC,RELAY__UNC_INTRA_ONLY,2,18,11.11111111111111
MGOD,TDC,NULL__UNC_INTRA_ONLY,0,18,0.0
MGOD,TDC,DIRECT__UNC_INTRA_ONLY,0,18,0.0
MGOG,CCD,SENSORY_RELAY__UNC_FLEX,4,8,50.0
MGOG,CCD,RELAY__UNC_FLEX,3,8,37.5
MGOG,CCD,NULL__UNC_FLEX,0,8,0.0
MGOG,CCD,DIRECT__UNC_FLEX,0,8,0.0
MGOG,CCD,SENSORY_RELAY__UNC_INTRA_ONLY,0,8,0.0
MGOG,CCD,RELAY__UNC_INTRA_ONLY,0,8,0.0
MGOG,CCD,NULL__UNC_INTRA_ONLY,1,8,12.5
MGOG,CCD,DIRECT__UNC_INTRA_ONLY,0,8,0.0
MGOG,TDC,SENSORY_RELAY__UNC_FLEX,9,18,50.0
MGOG,TDC,RELAY__UNC_FLEX,7,18,38.888888888888886
MGOG,TDC,NULL__UNC_FLEX,1,18,5.555555555555555
MGOG,TDC,DIRECT__UNC_FLEX,1,18,5.555555555555555
MGOG,TDC,SENSORY_RELAY__UNC_INTRA_ONLY,0,18,0.0
MGOG,TDC,RELAY__UNC_INTRA_ONLY,0,18,0.0
MGOG,TDC,NULL__UNC_INTRA_ONLY,0,18,0.0
MGOG,TDC,DIRECT__UNC_INTRA_ONLY,0,18,0.0
